"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"vjqdn","#B-087","Hoa Bó B-087","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-087.jpg","Lớn hơn (+30%)","Kích thước",650000,
"t8kec","#B-085","Hoa Bó B-085","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-085.jpg","Bình thường","Kích thước",600000,
"t8kec","#B-085","Hoa Bó B-085","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-085.jpg","Lớn hơn (+30%)","Kích thước",780000,
"wmgrt","#B-084","Hoa bó B-084","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-084.jpg","Bình thường","Kích thước",3000000,
"wmgrt","#B-084","Hoa bó B-084","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-084.jpg","Lớn hơn (+30%)","Kích thước",3900000,
"ecbkx","#B-083","Hoa bó B-083","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-083.jpg","Bình thường","Kích thước",900000,
"ecbkx","#B-083","Hoa bó B-083","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-083.jpg","Lớn hơn (+30%)","Kích thước",1170000,
"qc35e","#B018","Hoa Bó B 018","
<p>Hoa Bó gồm Hoa Ly, Cúc, Chuỗi Ngọc cùng các loại hoa lá phụ liệu khác.</p>
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/hoa-bo-B-(L)-018.jpg","Bình thường","Kích thước",900000,"<p><strong>TINH TẾ</strong></p>
<p>Đối với những người yêu thích sự tinh tế và nhẹ nhàng, thì Hoa Ly chính là món quà phù hợp nhất. Không mang vẻ đẹp mặn mà, rực rỡ, Hoa Ly mang đến nét thanh tao và cao quý. Hoa Bó <strong>Tinh Tế&nbsp;</strong>thích hợp dành tặng người thân, bạn bè, đồng nghiệp,... trong các dịp Sinh nhật, Kỷ niệm, Chúc mừng,...</p>
"
"qc35e","#B018","Hoa Bó B 018","
<p>Hoa Bó gồm Hoa Ly, Cúc, Chuỗi Ngọc cùng các loại hoa lá phụ liệu khác.</p>
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/hoa-bo-B-(L)-018.jpg","Lớn hơn (+30%)","Kích thước",1170000,"<p><strong>TINH TẾ</strong></p>
<p>Đối với những người yêu thích sự tinh tế và nhẹ nhàng, thì Hoa Ly chính là món quà phù hợp nhất. Không mang vẻ đẹp mặn mà, rực rỡ, Hoa Ly mang đến nét thanh tao và cao quý. Hoa Bó <strong>Tinh Tế&nbsp;</strong>thích hợp dành tặng người thân, bạn bè, đồng nghiệp,... trong các dịp Sinh nhật, Kỷ niệm, Chúc mừng,...</p>
"
"oqn1b","#B111","Hoa Bó B 111","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0263.jpg","Bình thường","Kích thước",900000,
"oqn1b","#B111","Hoa Bó B 111","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0263.jpg","Lớn hơn (+30%)","Kích thước",1170000,
