"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"jh9cw","#BK060","Hoa giỏ BK 060",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-060.jpg","Bình thường","Kích thước",1500000
"jh9cw","#BK060","Hoa giỏ BK 060",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-060.jpg","Lớn hơn (+30%)","Kích thước",1950000
"it8i","#BK059","Hoa Giỏ BK 059",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-059.jpg","Bình thường","Kích thước",900000
"it8i","#BK059","Hoa Giỏ BK 059",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-059.jpg","Lớn hơn (+30%)","Kích thước",1170000
"1xzh","#GF18011","Hoa Giỏ GF 18011","<p><strong>QUYỀN LỰC</strong></p>
<p>Màu đỏ là một màu sắc tính chất mạnh mẽ, đầy năng lượng, có khả năng thu hút sự chú ý có thể làm biểu tượng cho sức mạnh, sự tự tin và quyền lực. Tất cả các loại hoa được cắm trong Hộp Hoa đều mang màu đỏ cùng mang chung một ý nghĩa - Chúc người nhận luôn&nbsp;quyết đoán, nhiệt huyết. Đây chính là món quà dành tặng những người bạn yêu thương, kính trọng.</p>
","
<p>Hộp Hoa gồm Hoa Hạnh Phúc, Hồng Môn, Táo đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-gio/GF%2018011.jpg","Bình thường","Kích thước",1500000
"1xzh","#GF18011","Hoa Giỏ GF 18011","<p><strong>QUYỀN LỰC</strong></p>
<p>Màu đỏ là một màu sắc tính chất mạnh mẽ, đầy năng lượng, có khả năng thu hút sự chú ý có thể làm biểu tượng cho sức mạnh, sự tự tin và quyền lực. Tất cả các loại hoa được cắm trong Hộp Hoa đều mang màu đỏ cùng mang chung một ý nghĩa - Chúc người nhận luôn&nbsp;quyết đoán, nhiệt huyết. Đây chính là món quà dành tặng những người bạn yêu thương, kính trọng.</p>
","
<p>Hộp Hoa gồm Hoa Hạnh Phúc, Hồng Môn, Táo đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-gio/GF%2018011.jpg","Lớn hơn (+30%)","Kích thước",1950000
"pib9d7","#BK075","Hoa Giỏ BK 075",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-075.jpg","Bình thường","Kích thước",1900000
"pib9d7","#BK075","Hoa Giỏ BK 075",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/Hoa%20Gio/Hoa-Gio-BK-075.jpg","Lớn hơn (+30%)","Kích thước",2470000
"b2mmq","#BK223","Hoa Giỏ BK 223",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-216.jpg","Bình thường","Kích thước",1500000
"b2mmq","#BK223","Hoa Giỏ BK 223",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-216.jpg","Lớn hơn (+30%)","Kích thước",1950000
